Train Loss,Test Loss,Train Accuracy,Test Accuracy
0.25298704046032605,0.21970770684893492,0.9401088929219601,0.953307392996109
0.28739299147834363,0.18906467544197572,0.9382940108892922,0.953307392996109
0.27760266952094925,0.22868051168287776,0.941923774954628,0.953307392996109
0.25472922514982105,0.19542180529364353,0.941923774954628,0.953307392996109
0.20825749082649683,0.19696425562470804,0.9455535390199638,0.9416342412451362
0.24247024557172928,0.18274437946336278,0.9237749546279492,0.953307392996109
0.23359641603138398,0.19957712547788362,0.9401088929219601,0.953307392996109
0.21469965842155275,0.19035700282466086,0.9437386569872959,0.9494163424124513
0.19183241620578698,0.19686996119263572,0.9473684210526315,0.9455252918287937
0.20730262737849664,0.19928877368743317,0.9274047186932849,0.953307392996109
