,precision,recall,f1-score,support
0.0,0.953307392996109,1.0,0.9760956175298805,245.0
1.0,0.0,0.0,0.0,12.0
accuracy,0.953307392996109,0.953307392996109,0.953307392996109,0.953307392996109
macro avg,0.4766536964980545,0.5,0.48804780876494025,257.0
weighted avg,0.9087949855410378,0.953307392996109,0.9305191684623375,257.0
